data_ora_proiezione,titolo_film,genere,regista,anno,durata_minuti,eta_minima,prezzo_biglietto
"2019-08-22 10:30:00","Dead Poets Society",COMEDY,"Peter Weir",1989,128,0,8.5
"2019-08-22 13:30:00","1917",DRAMA,"Sam Mendes",2019,119,16,7.5
"2019-08-22 16:00:00","Night on Earth",COMEDY,"Jim Jarmusch",1991,129,16,8.0
"2019-08-23 10:30:00","Good Will Hunting",DRAMA,"Gus Van Sant",1997,126,0,6.5
"2019-08-24 10:00:00","Good Will Hunting",DRAMA,"Gus Van Sant",1997,126,0,7.5
"2019-08-24 13:00:00","Only the Brave",ACTION,"Joseph Kosinski",2017,134,12,7.0
"2019-08-24 16:00:00","Dead Poets Society",COMEDY,"Peter Weir",1989,128,0,6.5
"2019-08-25 10:30:00","Escape from Alcatraz",ACTION,"Don Siegel",1979,112,12,8.0
"2019-08-25 13:30:00","Dark City",MYSTERY,"Alex Proyas",1998,100,12,6.5
"2019-08-25 16:00:00","Chinatown",DRAMA,"Roman Polanski",1974,130,12,7.0
"2019-08-25 19:00:00","1917",DRAMA,"Sam Mendes",2019,119,16,9.0
"2019-08-26 10:30:00","Gifted",DRAMA,"Marc Webb",2017,101,12,8.0
"2019-08-26 13:00:00","Good Will Hunting",DRAMA,"Gus Van Sant",1997,126,0,6.5
"2019-08-27 10:30:00","Donnie Brasco",BIOGRAPHY,"Mike Newell",1997,127,12,7.0
"2019-08-27 13:30:00","Escape from Alcatraz",ACTION,"Don Siegel",1979,112,12,8.5
"2019-08-27 16:00:00","The Exorcist",HORROR,"William Friedkin",1973,122,12,6.5
"2019-08-28 10:30:00","Escape from Alcatraz",ACTION,"Don Siegel",1979,112,12,6.5
"2019-08-28 13:00:00","Stalker",DRAMA,"Andrei Tarkovsky",1979,162,0,8.0
"2019-08-29 10:30:00","1917",DRAMA,"Sam Mendes",2019,119,16,7.0
"2019-08-29 13:30:00","Breaking the Waves",DRAMA,"Lars von Trier",1996,159,16,8.0
"2019-08-29 17:00:00","The Little Mermaid",ANIMATION,"Ron Clements",1989,83,0,8.0
"2019-08-30 10:30:00","Heat",CRIME,"Michael Mann",1995,170,12,6.5
"2019-08-30 14:30:00","The Little Mermaid",ANIMATION,"Ron Clements",1989,83,0,7.5
"2019-08-30 16:30:00","Donnie Brasco",BIOGRAPHY,"Mike Newell",1997,127,12,7.0
"2019-08-31 10:30:00","Night on Earth",COMEDY,"Jim Jarmusch",1991,129,16,6.5
"2019-08-31 13:30:00","Dark City",MYSTERY,"Alex Proyas",1998,100,12,6.5
"2019-08-31 16:00:00","Watership Down",ANIMATION,"Martin Rosen",1978,91,0,8.5
"2019-09-01 10:30:00","God's Own Country",DRAMA,"Francis Lee",2017,104,12,7.0
"2019-09-01 13:00:00","Only the Brave",ACTION,"Joseph Kosinski",2017,134,12,7.5
"2019-09-01 16:00:00","Good Will Hunting",DRAMA,"Gus Van Sant",1997,126,0,8.5
"2019-09-02 10:30:00","On the Waterfront",CRIME,"Elia Kazan",1954,108,12,6.5
"2019-09-03 10:00:00","Donnie Brasco",BIOGRAPHY,"Mike Newell",1997,127,12,8.0
"2019-09-04 10:00:00","Gifted",DRAMA,"Marc Webb",2017,101,12,8.0
"2019-09-04 12:30:00","The Little Mermaid",ANIMATION,"Ron Clements",1989,83,0,6.5
"2019-09-05 10:00:00","God's Own Country",DRAMA,"Francis Lee",2017,104,12,7.0
"2019-09-06 10:30:00","Gifted",DRAMA,"Marc Webb",2017,101,12,6.5
"2019-09-06 13:00:00","The Remains of the Day",DRAMA,"James Ivory",1993,134,0,6.5
"2019-09-06 16:00:00","The Gold Rush",ADVENTURE,"Charles Chaplin",1925,95,12,8.5
"2019-09-07 10:00:00","Night on Earth",COMEDY,"Jim Jarmusch",1991,129,16,7.0
"2019-09-07 13:00:00","Watership Down",ANIMATION,"Martin Rosen",1978,91,0,7.0
"2019-09-07 15:30:00","Only the Brave",ACTION,"Joseph Kosinski",2017,134,12,7.5
"2019-09-07 18:30:00","The Manchurian Candidate",DRAMA,"John Frankenheimer",1962,126,12,8.5
"2019-09-08 10:30:00","Gone with the Wind",DRAMA,"Victor Fleming",1939,238,0,7.5
"2019-09-08 15:30:00","Escape from Alcatraz",ACTION,"Don Siegel",1979,112,12,7.0
"2019-09-08 18:00:00","The Gold Rush",ADVENTURE,"Charles Chaplin",1925,95,12,9.5
"2019-09-09 10:00:00","Lethal Weapon",ACTION,"Richard Donner",1987,109,12,7.5
"2019-09-10 10:30:00","Watership Down",ANIMATION,"Martin Rosen",1978,91,0,7.0
"2019-09-10 13:00:00","Unforgiven",DRAMA,"Clint Eastwood",1992,130,12,8.0
"2019-09-10 16:00:00","On the Waterfront",CRIME,"Elia Kazan",1954,108,12,6.5
"2019-09-11 10:00:00","Donnie Brasco",BIOGRAPHY,"Mike Newell",1997,127,12,8.0
"2019-09-11 13:00:00","God's Own Country",DRAMA,"Francis Lee",2017,104,12,7.5
"2019-09-12 10:00:00","Dead Poets Society",COMEDY,"Peter Weir",1989,128,0,8.5
"2019-09-12 13:00:00","La Strada",DRAMA,"Federico Fellini",1954,108,12,7.0
"2019-09-12 15:30:00","Escape from Alcatraz",ACTION,"Don Siegel",1979,112,12,7.5
"2019-09-13 10:30:00","Lethal Weapon",ACTION,"Richard Donner",1987,109,12,7.0
"2019-09-13 13:00:00","La Strada",DRAMA,"Federico Fellini",1954,108,12,6.5
"2019-09-13 15:30:00","The Manchurian Candidate",DRAMA,"John Frankenheimer",1962,126,12,7.5
"2019-09-14 10:00:00","Dead Poets Society",COMEDY,"Peter Weir",1989,128,0,8.5
"2019-09-14 13:00:00","The Exorcist",HORROR,"William Friedkin",1973,122,12,6.5
"2019-09-14 16:00:00","La Strada",DRAMA,"Federico Fellini",1954,108,12,8.0
"2019-09-14 19:00:00","Lethal Weapon",ACTION,"Richard Donner",1987,109,12,9.5
"2019-09-15 10:30:00","The Remains of the Day",DRAMA,"James Ivory",1993,134,0,6.5
"2019-09-15 13:30:00","Lethal Weapon",ACTION,"Richard Donner",1987,109,12,7.0
"2019-09-15 16:00:00","Donnie Brasco",BIOGRAPHY,"Mike Newell",1997,127,12,8.5
"2019-09-16 10:30:00","Dead Poets Society",COMEDY,"Peter Weir",1989,128,0,7.0
"2019-09-16 13:30:00","Le notti di Cabiria",DRAMA,"Federico Fellini",1957,110,12,6.5
"2019-09-16 16:00:00","Donnie Brasco",BIOGRAPHY,"Mike Newell",1997,127,12,6.5
"2019-09-17 10:30:00","Magnolia",DRAMA,"Paul Thomas Anderson",1999,188,16,7.0
"2019-09-17 14:30:00","The Little Mermaid",ANIMATION,"Ron Clements",1989,83,0,8.0
"2019-09-17 16:30:00","Donnie Brasco",BIOGRAPHY,"Mike Newell",1997,127,12,6.5
"2019-09-18 10:30:00","Clerks",COMEDY,"Kevin Smith",1994,92,16,7.0
"2019-09-18 13:00:00","Watership Down",ANIMATION,"Martin Rosen",1978,91,0,7.5
"2019-09-19 10:00:00","Donnie Brasco",BIOGRAPHY,"Mike Newell",1997,127,12,7.5
"2019-09-19 13:00:00","The Circus",COMEDY,"Charles Chaplin",1928,72,12,8.0
"2019-09-19 15:00:00","La Strada",DRAMA,"Federico Fellini",1954,108,12,8.0
"2019-09-20 10:00:00","Unforgiven",DRAMA,"Clint Eastwood",1992,130,12,7.5
"2019-09-21 10:30:00","Donnie Brasco",BIOGRAPHY,"Mike Newell",1997,127,12,7.5
"2019-09-21 13:30:00","Donnie Brasco",BIOGRAPHY,"Mike Newell",1997,127,12,8.0
"2019-09-21 16:30:00","Le notti di Cabiria",DRAMA,"Federico Fellini",1957,110,12,8.5
"2019-09-22 10:30:00","Dead Poets Society",COMEDY,"Peter Weir",1989,128,0,7.0
"2019-09-22 13:30:00","Lethal Weapon",ACTION,"Richard Donner",1987,109,12,7.5
"2019-09-22 16:00:00","Gone with the Wind",DRAMA,"Victor Fleming",1939,238,0,6.5
"2019-09-23 10:00:00","Only the Brave",ACTION,"Joseph Kosinski",2017,134,12,8.0
"2019-09-23 13:00:00","Lethal Weapon",ACTION,"Richard Donner",1987,109,12,8.0
"2019-09-23 16:00:00","Only the Brave",ACTION,"Joseph Kosinski",2017,134,12,7.0
"2019-09-24 10:00:00","Unforgiven",DRAMA,"Clint Eastwood",1992,130,12,8.5
"2019-09-25 10:00:00","Unforgiven",DRAMA,"Clint Eastwood",1992,130,12,8.0
"2019-09-26 10:00:00","Donnie Brasco",BIOGRAPHY,"Mike Newell",1997,127,12,8.5
"2019-09-27 10:30:00","The Manchurian Candidate",DRAMA,"John Frankenheimer",1962,126,12,8.5
"2019-09-27 13:30:00","Dead Poets Society",COMEDY,"Peter Weir",1989,128,0,8.5
"2019-09-28 10:00:00","The Manchurian Candidate",DRAMA,"John Frankenheimer",1962,126,12,7.0
"2019-09-28 13:00:00","Loving Vincent",ANIMATION,"Dorota Kobiela",2017,94,12,6.5
"2019-09-28 15:30:00","The Manchurian Candidate",DRAMA,"John Frankenheimer",1962,126,12,8.5
"2019-09-28 18:30:00","Lethal Weapon",ACTION,"Richard Donner",1987,109,12,8.5
"2019-09-29 10:00:00","2001: A Space Odyssey",ADVENTURE,"Stanley Kubrick",1968,149,0,6.5
"2019-09-29 13:30:00","La Strada",DRAMA,"Federico Fellini",1954,108,12,7.0
"2019-09-29 16:30:00","Gone with the Wind",DRAMA,"Victor Fleming",1939,238,0,6.5
"2019-09-30 10:00:00","2001: A Space Odyssey",ADVENTURE,"Stanley Kubrick",1968,149,0,6.5
"2019-10-01 10:30:00","2001: A Space Odyssey",ADVENTURE,"Stanley Kubrick",1968,149,0,7.5
"2019-10-01 14:00:00","The Manchurian Candidate",DRAMA,"John Frankenheimer",1962,126,12,6.5
"2019-10-02 10:30:00","Reservoir Dogs",CRIME,"Quentin Tarantino",1992,99,16,7.0
"2019-10-02 13:00:00","Clerks",COMEDY,"Kevin Smith",1994,92,16,8.5
"2019-10-03 10:00:00","Stalker",DRAMA,"Andrei Tarkovsky",1979,162,0,6.5
"2019-10-04 10:00:00","Stalker",DRAMA,"Andrei Tarkovsky",1979,162,0,7.0
"2019-10-05 10:30:00","La planète sauvage",ANIMATION,"René Laloux",1973,72,0,6.5
"2019-10-05 12:30:00","Magnolia",DRAMA,"Paul Thomas Anderson",1999,188,16,7.0
"2019-10-05 16:30:00","Clerks",COMEDY,"Kevin Smith",1994,92,16,7.0
"2019-10-06 10:30:00","La planète sauvage",ANIMATION,"René Laloux",1973,72,0,7.0
"2019-10-06 12:30:00","The Circus",COMEDY,"Charles Chaplin",1928,72,12,8.5
"2019-10-06 14:30:00","Magnolia",DRAMA,"Paul Thomas Anderson",1999,188,16,6.5
"2019-10-07 10:00:00","Donnie Brasco",BIOGRAPHY,"Mike Newell",1997,127,12,8.0
"2019-10-08 10:30:00","La double vie de Véronique",DRAMA,"Krzysztof Kieslowski",1991,98,16,8.0
"2019-10-08 13:00:00","La double vie de Véronique",DRAMA,"Krzysztof Kieslowski",1991,98,16,7.5
"2019-10-08 15:30:00","Casino",CRIME,"Martin Scorsese",1995,178,12,6.5
"2019-10-09 10:30:00","Ben-Hur",ADVENTURE,"William Wyler",1959,212,0,8.0
"2019-10-09 15:00:00","On the Waterfront",CRIME,"Elia Kazan",1954,108,12,8.0
"2019-10-10 10:30:00","Inherit the Wind",BIOGRAPHY,"Stanley Kramer",1960,128,12,6.5
"2019-10-10 13:30:00","Clerks",COMEDY,"Kevin Smith",1994,92,16,8.5
"2019-10-11 10:30:00","The Ladykillers",COMEDY,"Alexander Mackendrick",1955,91,12,6.5
"2019-10-11 13:00:00","First Blood",ACTION,"Ted Kotcheff",1982,93,12,6.5
"2019-10-11 15:30:00","First Blood",ACTION,"Ted Kotcheff",1982,93,12,7.0
"2019-10-12 10:00:00","The Ladykillers",COMEDY,"Alexander Mackendrick",1955,91,12,8.0
"2019-10-12 12:30:00","First Blood",ACTION,"Ted Kotcheff",1982,93,12,6.5
"2019-10-12 15:00:00","The Circus",COMEDY,"Charles Chaplin",1928,72,12,8.5
"2019-10-12 17:00:00","The Fifth Element",ACTION,"Luc Besson",1997,126,12,7.5
"2019-10-13 10:30:00","The Manchurian Candidate",DRAMA,"John Frankenheimer",1962,126,12,7.5
"2019-10-13 13:30:00","First Blood",ACTION,"Ted Kotcheff",1982,93,12,6.5
"2019-10-13 16:00:00","La planète sauvage",ANIMATION,"René Laloux",1973,72,0,7.5
"2019-10-14 10:00:00","Magnolia",DRAMA,"Paul Thomas Anderson",1999,188,16,8.0
"2019-10-14 14:00:00","Casino",CRIME,"Martin Scorsese",1995,178,12,6.5
"2019-10-15 10:30:00","La planète sauvage",ANIMATION,"René Laloux",1973,72,0,7.0
"2019-10-15 12:30:00","The Manchurian Candidate",DRAMA,"John Frankenheimer",1962,126,12,8.5
"2019-10-15 15:30:00","Casino",CRIME,"Martin Scorsese",1995,178,12,8.0
"2019-10-16 10:30:00","Il conformista",DRAMA,"Bernardo Bertolucci",1970,113,12,7.5
"2019-10-16 13:00:00","Ben-Hur",ADVENTURE,"William Wyler",1959,212,0,7.5
"2019-10-17 10:00:00","Bound by Honor",CRIME,"Taylor Hackford",1993,180,16,6.5
"2019-10-17 14:00:00","La planète sauvage",ANIMATION,"René Laloux",1973,72,0,8.5
"2019-10-18 10:00:00","Il conformista",DRAMA,"Bernardo Bertolucci",1970,113,12,7.0
"2019-10-19 10:00:00","Naked",COMEDY,"Mike Leigh",1993,132,12,7.5
"2019-10-19 13:00:00","Before Sunrise",DRAMA,"Richard Linklater",1995,101,16,8.0
"2019-10-19 15:30:00","Eskiya",CRIME,"Yavuz Turgul",1996,128,12,8.0
"2019-10-19 18:30:00","The Thin Man",COMEDY,"W.S. Van Dyke",1934,91,12,9.0
"2019-10-20 10:00:00","Eskiya",CRIME,"Yavuz Turgul",1996,128,12,6.5
"2019-10-20 13:00:00","The Thin Man",COMEDY,"W.S. Van Dyke",1934,91,12,7.5
"2019-10-20 15:30:00","The Game",ACTION,"David Fincher",1997,129,12,7.5
"2019-10-20 18:30:00","Ben-Hur",ADVENTURE,"William Wyler",1959,212,0,8.5
"2019-10-21 10:30:00","Before Sunrise",DRAMA,"Richard Linklater",1995,101,16,7.0
"2019-10-21 13:00:00","Inherit the Wind",BIOGRAPHY,"Stanley Kramer",1960,128,12,6.5
"2019-10-22 10:00:00","First Blood",ACTION,"Ted Kotcheff",1982,93,12,7.0
"2019-10-22 12:30:00","First Blood",ACTION,"Ted Kotcheff",1982,93,12,8.0
"2019-10-23 10:30:00","Il conformista",DRAMA,"Bernardo Bertolucci",1970,113,12,6.5
"2019-10-23 13:00:00","Casino",CRIME,"Martin Scorsese",1995,178,12,7.0
"2019-10-24 10:00:00","Bound by Honor",CRIME,"Taylor Hackford",1993,180,16,7.0
"2019-10-25 10:00:00","Ben-Hur",ADVENTURE,"William Wyler",1959,212,0,8.0
"2019-10-26 10:30:00","Casino",CRIME,"Martin Scorsese",1995,178,12,8.5
"2019-10-26 14:30:00","Eskiya",CRIME,"Yavuz Turgul",1996,128,12,8.0
"2019-10-26 17:30:00","Ben-Hur",ADVENTURE,"William Wyler",1959,212,0,7.5
"2019-10-26 22:00:00","The Thin Man",COMEDY,"W.S. Van Dyke",1934,91,12,9.0
"2019-10-27 10:00:00","La double vie de Véronique",DRAMA,"Krzysztof Kieslowski",1991,98,16,7.5
"2019-10-27 12:30:00","Eskiya",CRIME,"Yavuz Turgul",1996,128,12,7.0
"2019-10-27 15:30:00","Magnolia",DRAMA,"Paul Thomas Anderson",1999,188,16,8.5
"2019-10-28 10:30:00","Naked",COMEDY,"Mike Leigh",1993,132,12,7.0
"2019-10-28 13:30:00","The Thin Man",COMEDY,"W.S. Van Dyke",1934,91,12,7.0
"2019-10-29 10:00:00","Chung Hing sam lam",COMEDY,"Kar-Wai Wong",1994,102,0,7.5
"2019-10-30 10:00:00","Sound of Metal",DRAMA,"Darius Marder",2019,120,16,6.5
"2019-10-30 13:00:00","Naked",COMEDY,"Mike Leigh",1993,132,12,7.0
"2019-10-30 16:00:00","Manbiki kazoku",CRIME,"Hirokazu Koreeda",2018,121,12,6.5
"2019-10-31 10:30:00","Il conformista",DRAMA,"Bernardo Bertolucci",1970,113,12,7.5
"2019-10-31 13:30:00","La double vie de Véronique",DRAMA,"Krzysztof Kieslowski",1991,98,16,8.0
"2019-10-31 16:00:00","Bound by Honor",CRIME,"Taylor Hackford",1993,180,16,6.5
"2019-11-01 10:00:00","Before Sunrise",DRAMA,"Richard Linklater",1995,101,16,8.5
"2019-11-02 10:30:00","Before Sunrise",DRAMA,"Richard Linklater",1995,101,16,8.5
"2019-11-02 13:00:00","Ben-Hur",ADVENTURE,"William Wyler",1959,212,0,8.5
"2019-11-02 17:30:00","Sound of Metal",DRAMA,"Darius Marder",2019,120,16,6.5
"2019-11-02 20:30:00","Casino",CRIME,"Martin Scorsese",1995,178,12,9.5
"2019-11-03 10:00:00","Ben-Hur",ADVENTURE,"William Wyler",1959,212,0,6.5
"2019-11-03 14:30:00","Sweet Smell of Success",DRAMA,"Alexander Mackendrick",1957,96,12,8.5
"2019-11-03 17:00:00","First Blood",ACTION,"Ted Kotcheff",1982,93,12,6.5
"2019-11-03 19:30:00","To Be or Not to Be",COMEDY,"Ernst Lubitsch",1942,99,12,10.0
"2019-11-04 10:30:00","Chung Hing sam lam",COMEDY,"Kar-Wai Wong",1994,102,0,6.5
"2019-11-05 10:00:00","On the Waterfront",CRIME,"Elia Kazan",1954,108,12,7.5
"2019-11-05 13:00:00","First Blood",ACTION,"Ted Kotcheff",1982,93,12,8.0
"2019-11-06 10:30:00","Anand",DRAMA,"Hrishikesh Mukherjee",1971,122,0,8.5
"2019-11-06 13:30:00","Naked",COMEDY,"Mike Leigh",1993,132,12,7.5
"2019-11-07 10:00:00","Butch Cassidy and the Sundance Kid",BIOGRAPHY,"George Roy Hill",1969,110,6,7.5
"2019-11-08 10:30:00","The Game",ACTION,"David Fincher",1997,129,12,7.0
"2019-11-09 10:00:00","Ben-Hur",ADVENTURE,"William Wyler",1959,212,0,7.0
"2019-11-09 14:30:00","Sound of Metal",DRAMA,"Darius Marder",2019,120,16,7.5
"2019-11-09 17:00:00","La double vie de Véronique",DRAMA,"Krzysztof Kieslowski",1991,98,16,7.5
"2019-11-09 19:30:00","Butch Cassidy and the Sundance Kid",BIOGRAPHY,"George Roy Hill",1969,110,6,8.5
"2019-11-10 10:30:00","Casino",CRIME,"Martin Scorsese",1995,178,12,8.0
"2019-11-10 14:30:00","La double vie de Véronique",DRAMA,"Krzysztof Kieslowski",1991,98,16,7.5
"2019-11-10 17:00:00","A Night at the Opera",COMEDY,"Sam Wood",1935,96,12,6.5
"2019-11-11 10:30:00","Before Sunrise",DRAMA,"Richard Linklater",1995,101,16,6.5
"2019-11-12 10:30:00","Anand",DRAMA,"Hrishikesh Mukherjee",1971,122,0,8.0
"2019-11-13 10:30:00","Butch Cassidy and the Sundance Kid",BIOGRAPHY,"George Roy Hill",1969,110,6,7.5
"2019-11-13 13:00:00","The Princess Bride",ADVENTURE,"Rob Reiner",1987,98,0,6.5
"2019-11-14 10:00:00","City Lights",COMEDY,"Charles Chaplin",1931,87,0,8.0
"2019-11-14 12:30:00","Avengers: Infinity War",ACTION,"Anthony Russo",2018,149,12,8.0
"2019-11-14 16:00:00","Sound of Metal",DRAMA,"Darius Marder",2019,120,16,8.5
"2019-11-15 10:00:00","Before Sunrise",DRAMA,"Richard Linklater",1995,101,16,8.5
"2019-11-15 12:30:00","Breaking the Waves",DRAMA,"Lars von Trier",1996,159,16,8.0
"2019-11-15 16:00:00","La passion de Jeanne d'Arc",BIOGRAPHY,"Carl Theodor Dreyer",1928,110,12,8.5
"2019-11-16 10:00:00","Breaking the Waves",DRAMA,"Lars von Trier",1996,159,16,6.5
"2019-11-16 13:30:00","The Thin Man",COMEDY,"W.S. Van Dyke",1934,91,12,7.0
"2019-11-16 16:00:00","Fight Club",DRAMA,"David Fincher",1999,139,12,6.5
"2019-11-17 10:30:00","On the Waterfront",CRIME,"Elia Kazan",1954,108,12,8.0
"2019-11-17 13:00:00","Il conformista",DRAMA,"Bernardo Bertolucci",1970,113,12,7.0
"2019-11-17 15:30:00","Batman: Mask of the Phantasm",ANIMATION,"Kevin Altieri",1993,76,6,8.5
"2019-11-17 17:30:00","Naked",COMEDY,"Mike Leigh",1993,132,12,7.0
"2019-11-18 10:30:00","The Princess Bride",ADVENTURE,"Rob Reiner",1987,98,0,7.0
"2019-11-18 13:00:00","Kumonosu-jô",DRAMA,"Akira Kurosawa",1957,110,12,6.5
"2019-11-19 10:00:00","The Thin Man",COMEDY,"W.S. Van Dyke",1934,91,12,7.0
"2019-11-20 10:30:00","Fight Club",DRAMA,"David Fincher",1999,139,12,7.5
"2019-11-20 13:30:00","Sweet Smell of Success",DRAMA,"Alexander Mackendrick",1957,96,12,7.5
"2019-11-21 10:30:00","La passion de Jeanne d'Arc",BIOGRAPHY,"Carl Theodor Dreyer",1928,110,12,8.0
"2019-11-22 10:30:00","Fight Club",DRAMA,"David Fincher",1999,139,12,6.5
"2019-11-22 13:30:00","Kumonosu-jô",DRAMA,"Akira Kurosawa",1957,110,12,7.5
"2019-11-22 16:00:00","The Nightmare Before Christmas",ANIMATION,"Henry Selick",1993,76,0,8.0
"2019-11-23 10:00:00","Mary Poppins",COMEDY,"Robert Stevenson",1964,139,0,6.5
"2019-11-23 13:00:00","The Boondock Saints",ACTION,"Troy Duffy",1999,108,16,6.5
"2019-11-23 16:00:00","La passion de Jeanne d'Arc",BIOGRAPHY,"Carl Theodor Dreyer",1928,110,12,7.0
"2019-11-23 18:30:00","Ben-Hur",ADVENTURE,"William Wyler",1959,212,0,9.5
"2019-11-24 10:00:00","The Princess Bride",ADVENTURE,"Rob Reiner",1987,98,0,7.0
"2019-11-24 12:30:00","The Princess Bride",ADVENTURE,"Rob Reiner",1987,98,0,7.0
"2019-11-24 15:00:00","Gattaca",DRAMA,"Andrew Niccol",1997,106,12,7.0
"2019-11-25 10:00:00","Avengers: Infinity War",ACTION,"Anthony Russo",2018,149,12,7.0
"2019-11-25 13:30:00","Sweet Smell of Success",DRAMA,"Alexander Mackendrick",1957,96,12,6.5
"2019-11-25 16:00:00","Bonnie and Clyde",ACTION,"Arthur Penn",1967,111,12,8.0
"2019-11-26 10:00:00","Gattaca",DRAMA,"Andrew Niccol",1997,106,12,7.5
"2019-11-27 10:30:00","Breaking the Waves",DRAMA,"Lars von Trier",1996,159,16,7.5
"2019-11-27 14:00:00","Mary Poppins",COMEDY,"Robert Stevenson",1964,139,0,7.5
"2019-11-28 10:30:00","Fight Club",DRAMA,"David Fincher",1999,139,12,6.5
"2019-11-28 13:30:00","Home Alone",COMEDY,"Chris Columbus",1990,103,0,7.0
"2019-11-28 16:00:00","The Nightmare Before Christmas",ANIMATION,"Henry Selick",1993,76,0,7.5
"2019-11-29 10:30:00","Breaking the Waves",DRAMA,"Lars von Trier",1996,159,16,7.5
"2019-11-29 14:00:00","Mary Poppins",COMEDY,"Robert Stevenson",1964,139,0,7.5
"2019-11-29 17:30:00","The Nightmare Before Christmas",ANIMATION,"Henry Selick",1993,76,0,7.5
"2019-11-30 10:00:00","Tombstone",ACTION,"George P. Cosmatos",1993,130,16,7.0
"2019-11-30 13:00:00","The Ladykillers",COMEDY,"Alexander Mackendrick",1955,91,12,8.0
"2019-11-30 15:30:00","A Night at the Opera",COMEDY,"Sam Wood",1935,96,12,6.5
"2019-11-30 18:00:00","Tombstone",ACTION,"George P. Cosmatos",1993,130,16,9.0
"2019-12-01 10:30:00","La passion de Jeanne d'Arc",BIOGRAPHY,"Carl Theodor Dreyer",1928,110,12,6.5
"2019-12-01 13:00:00","La passion de Jeanne d'Arc",BIOGRAPHY,"Carl Theodor Dreyer",1928,110,12,6.5
"2019-12-01 15:30:00","Trois couleurs: Rouge",DRAMA,"Krzysztof Kieslowski",1994,99,0,7.0
"2019-12-02 10:30:00","Fight Club",DRAMA,"David Fincher",1999,139,12,7.0
"2019-12-03 10:00:00","The Sixth Sense",DRAMA,"M. Night Shyamalan",1999,107,12,7.0
"2019-12-03 13:00:00","Gattaca",DRAMA,"Andrew Niccol",1997,106,12,8.5
"2019-12-03 15:30:00","Gattaca",DRAMA,"Andrew Niccol",1997,106,12,7.5
"2019-12-04 10:00:00","Home Alone",COMEDY,"Chris Columbus",1990,103,0,8.0
"2019-12-04 12:30:00","Avengers: Infinity War",ACTION,"Anthony Russo",2018,149,12,7.0
"2019-12-04 16:00:00","The Longest Day",ACTION,"Ken Annakin",1962,178,0,8.0
"2019-12-05 10:30:00","American History X",DRAMA,"Tony Kaye",1998,119,16,6.5
"2019-12-05 13:30:00","The Sixth Sense",DRAMA,"M. Night Shyamalan",1999,107,12,7.5
"2019-12-06 10:30:00","Bonnie and Clyde",ACTION,"Arthur Penn",1967,111,12,8.0
"2019-12-07 10:00:00","The Message",BIOGRAPHY,"Moustapha Akkad",1976,177,6,7.5
"2019-12-07 13:30:00","The Nightmare Before Christmas",ANIMATION,"Henry Selick",1993,76,0,7.5
"2019-12-07 15:30:00","The Outlaw Josey Wales",WESTERN,"Clint Eastwood",1976,135,12,8.5
"2019-12-07 18:30:00","Gattaca",DRAMA,"Andrew Niccol",1997,106,12,9.5
"2019-12-08 10:30:00","Trois couleurs: Rouge",DRAMA,"Krzysztof Kieslowski",1994,99,0,7.0
"2019-12-08 13:00:00","Anand",DRAMA,"Hrishikesh Mukherjee",1971,122,0,8.0
"2019-12-08 16:00:00","La passion de Jeanne d'Arc",BIOGRAPHY,"Carl Theodor Dreyer",1928,110,12,8.5
"2019-12-09 10:00:00","Anand",DRAMA,"Hrishikesh Mukherjee",1971,122,0,7.0
"2019-12-09 13:00:00","Zulu",DRAMA,"Cy Endfield",1964,138,0,7.0
"2019-12-09 16:30:00","Breaking the Waves",DRAMA,"Lars von Trier",1996,159,16,8.0
"2019-12-10 10:30:00","Miller's Crossing",CRIME,"Joel Coen",1990,115,16,6.5
"2019-12-11 10:30:00","Home Alone",COMEDY,"Chris Columbus",1990,103,0,8.0
"2019-12-12 10:30:00","The Sixth Sense",DRAMA,"M. Night Shyamalan",1999,107,12,8.0
"2019-12-12 13:30:00","The Boondock Saints",ACTION,"Troy Duffy",1999,108,16,8.5
"2019-12-12 16:30:00","Trois couleurs: Rouge",DRAMA,"Krzysztof Kieslowski",1994,99,0,6.5
"2019-12-13 10:30:00","Fear and Loathing in Las Vegas",ADVENTURE,"Terry Gilliam",1998,118,16,7.5
"2019-12-13 13:30:00","The Nightmare Before Christmas",ANIMATION,"Henry Selick",1993,76,0,6.5
"2019-12-13 15:30:00","The Outlaw Josey Wales",WESTERN,"Clint Eastwood",1976,135,12,6.5
"2019-12-14 10:00:00","Fear and Loathing in Las Vegas",ADVENTURE,"Terry Gilliam",1998,118,16,6.5
"2019-12-14 13:00:00","Avengers: Infinity War",ACTION,"Anthony Russo",2018,149,12,8.5
"2019-12-14 16:30:00","Secrets & Lies",COMEDY,"Mike Leigh",1996,136,0,6.5
"2019-12-14 19:30:00","Zulu",DRAMA,"Cy Endfield",1964,138,0,9.0
"2019-12-15 10:00:00","American History X",DRAMA,"Tony Kaye",1998,119,16,7.0
"2019-12-15 13:00:00","Avengers: Infinity War",ACTION,"Anthony Russo",2018,149,12,6.5
"2019-12-15 16:30:00","The Longest Day",ACTION,"Ken Annakin",1962,178,0,8.0
"2019-12-16 10:00:00","A Few Good Men",DRAMA,"Rob Reiner",1992,138,0,8.5
"2019-12-16 13:00:00","American History X",DRAMA,"Tony Kaye",1998,119,16,7.0
"2019-12-16 16:00:00","Breaking the Waves",DRAMA,"Lars von Trier",1996,159,16,7.5
